fc_key,input_name,sample,chain_id,native_chain_id,found,returned_name_matches_requested
8be691add71f7cd55daadc8e04b836340daa6630_4_A,8be691add71f7cd55daadc8e04b836340daa6630,4,A,A,True,False
c11438bee138926270ee9728b035364f6ca3f05e_4_B,c11438bee138926270ee9728b035364f6ca3f05e,4,B,A,True,False
61546ae53b1f8ecba06236e541bd924a08328d9a_1_F,61546ae53b1f8ecba06236e541bd924a08328d9a,1,F,A,True,False
b94969f48c4dff562c00920e8393467d75dc4fbd_4_G,b94969f48c4dff562c00920e8393467d75dc4fbd,4,G,A,True,False
72807414d0af2624455e950cfdec624fa25c1799_2_K,72807414d0af2624455e950cfdec624fa25c1799,2,K,A,True,False
91067bc7475805d9770be83217c1645885b20f90_0_G,91067bc7475805d9770be83217c1645885b20f90,0,G,A,True,False
ea54a4aa966bdc447758e57eb33410cc17eac7db_1_L,ea54a4aa966bdc447758e57eb33410cc17eac7db,1,L,A,True,False
e6708f4b4e0c7dedbbee47735bc37255464a5a38_0_H,e6708f4b4e0c7dedbbee47735bc37255464a5a38,0,H,A,True,False
8a19bc3b6ca84ba62ce9b4fbea345c86c6ee5d4f_1_F,8a19bc3b6ca84ba62ce9b4fbea345c86c6ee5d4f,1,F,A,True,False
e390228a8c452dc28789b64f892e7ba12f798897_2_H,e390228a8c452dc28789b64f892e7ba12f798897,2,H,A,True,False
0ab02629889da2c45c8dc5a5bda52e6fb8335367_2_D,0ab02629889da2c45c8dc5a5bda52e6fb8335367,2,D,A,True,False
132ab3bbd570a17b2fb8a1370988aed49fbe8f26_3_A,132ab3bbd570a17b2fb8a1370988aed49fbe8f26,3,A,A,True,False
99e9f0cab548155052c996753ec459c0cb43f38e_0_A,99e9f0cab548155052c996753ec459c0cb43f38e,0,A,A,True,False
412e528ecd31d2e3368d6301f0510fb8124e8023_4_C,412e528ecd31d2e3368d6301f0510fb8124e8023,4,C,A,True,False
fc0b8b28c2e929ba9ffe96dcec87d3eecdc1e866_4_C,fc0b8b28c2e929ba9ffe96dcec87d3eecdc1e866,4,C,A,True,False
f2c6572aa7409b0dee05ff14ab9ed306a391c9ff_1_I,f2c6572aa7409b0dee05ff14ab9ed306a391c9ff,1,I,A,True,False
604a196e69d73a94514caad90e29a2e605651de9_4_F,604a196e69d73a94514caad90e29a2e605651de9,4,F,A,True,False
64f7b3661b902f623ec26c77338ab36918503bef_2_F,64f7b3661b902f623ec26c77338ab36918503bef,2,F,A,True,False
d0cc371236397df5123ff67d73bbe2436be518ad_4_F,d0cc371236397df5123ff67d73bbe2436be518ad,4,F,A,True,False
01454734c3d0a2b5fd21464aa85aa59621bba7ff_1_F,01454734c3d0a2b5fd21464aa85aa59621bba7ff,1,F,A,True,False
d085adac2bdc98d2a87bfdbabdc5200cc1c81c19_2_C,d085adac2bdc98d2a87bfdbabdc5200cc1c81c19,2,C,A,True,False
543a4f744628b50a211824c94aee8e0a8ce23674_0_E,543a4f744628b50a211824c94aee8e0a8ce23674,0,E,A,True,False
638e53284d4c96f203c731899b82e06ff0497850_4_D,638e53284d4c96f203c731899b82e06ff0497850,4,D,A,True,False
ac234c234a59764ca5d08d27a97324482aa3af8d_4_E,ac234c234a59764ca5d08d27a97324482aa3af8d,4,E,A,True,False
ddbc07a85a69c770cd584eef8e230745e3f026a8_3_B,ddbc07a85a69c770cd584eef8e230745e3f026a8,3,B,A,True,False
46b4fc868a0309053a27e70240ec4ce2da0ad114_3_B,46b4fc868a0309053a27e70240ec4ce2da0ad114,3,B,A,True,False
f7853ed4a829f80e7c69662d42c9ce644269ff51_1_B,f7853ed4a829f80e7c69662d42c9ce644269ff51,1,B,A,True,False
33ae551caa7e3e7f68783498ff9e5641695656cd_4_E,33ae551caa7e3e7f68783498ff9e5641695656cd,4,E,A,True,False
e4336522811bc81bd22e72f3c7ebe8844436aeb6_2_K,e4336522811bc81bd22e72f3c7ebe8844436aeb6,2,K,A,True,False
442ff18e1ce2994d4f2bf6d6b97242031b56ea38_0_G,442ff18e1ce2994d4f2bf6d6b97242031b56ea38,0,G,A,True,False
377c69f600f3fcf8a99d96d41b3277e4eed2924e_1_E,377c69f600f3fcf8a99d96d41b3277e4eed2924e,1,E,A,True,False
6ad4239cfc720942632c886237f58c6b36820c7b_3_B,6ad4239cfc720942632c886237f58c6b36820c7b,3,B,A,True,False
a4ee12177acfa6807fe8344d1b53d5fe7a548570_1_H,a4ee12177acfa6807fe8344d1b53d5fe7a548570,1,H,A,True,False
28c9a10aa63559fca5ce9ccc975f70786eaa8df6_1_B,28c9a10aa63559fca5ce9ccc975f70786eaa8df6,1,B,A,True,False
f90a1a62b27fd3e065bf73c25eb5a71f92592b01_2_G,f90a1a62b27fd3e065bf73c25eb5a71f92592b01,2,G,A,True,False
f52415073328e5dcb29158b0d4e940e93271c147_4_J,f52415073328e5dcb29158b0d4e940e93271c147,4,J,A,True,False
aac32bddf7216139d513ee301f2be1a5def52955_3_A,aac32bddf7216139d513ee301f2be1a5def52955,3,A,A,True,False
77362eb171a6176d8d4bc146721a1a4daca5f22c_2_B,77362eb171a6176d8d4bc146721a1a4daca5f22c,2,B,A,True,False
daf891054a82ef4c4d6b9d8a4e89d022a301cf76_0_I,daf891054a82ef4c4d6b9d8a4e89d022a301cf76,0,I,A,True,False
697fffc20203bb8c5b49c97b019abe9489073325_1_F,697fffc20203bb8c5b49c97b019abe9489073325,1,F,A,True,False
6fdb40608b529d4d622ab60335be07cd5c5de887_2_J,6fdb40608b529d4d622ab60335be07cd5c5de887,2,J,A,True,False
f391eb7f5563c7902dc2daaa692392a7bc9f1f48_3_N,f391eb7f5563c7902dc2daaa692392a7bc9f1f48,3,N,A,True,False
95694637dfe883aa9399d0c4a997da3ff384e064_1_B,95694637dfe883aa9399d0c4a997da3ff384e064,1,B,A,True,False
88d70121213ae7cf1508468db03b149352caee44_0_K,88d70121213ae7cf1508468db03b149352caee44,0,K,A,True,False
ccac65b01251a4f903a99241d47c23da9f663883_4_C,ccac65b01251a4f903a99241d47c23da9f663883,4,C,A,True,False
68f2c30c6d3689a61eeff25977581887d2361bc1_1_N,68f2c30c6d3689a61eeff25977581887d2361bc1,1,N,A,True,False
76a86d7c51f00d75266cd4a8103fdc0a429f27df_2_D,76a86d7c51f00d75266cd4a8103fdc0a429f27df,2,D,A,True,False
30ba91d8856add1f09424c49b0fa801931f946f2_3_B,30ba91d8856add1f09424c49b0fa801931f946f2,3,B,A,True,False
74d57ea68749562e57de015fe8117cd1a2b9d973_0_F,74d57ea68749562e57de015fe8117cd1a2b9d973,0,F,A,True,False
0ea3dd53fef2443e42ba1dd8eec7a6e840880f6f_1_H,0ea3dd53fef2443e42ba1dd8eec7a6e840880f6f,1,H,A,True,False
d45c7cadb2fe3f006a1c39328054bb01fc88e3b4_0_D,d45c7cadb2fe3f006a1c39328054bb01fc88e3b4,0,D,A,True,False
1d701b31be19ccdb823d032216a6be853528fe34_4_H,1d701b31be19ccdb823d032216a6be853528fe34,4,H,A,True,False
a24d6410f2d99be7eceb4617f8eb57a7c429c157_0_C,a24d6410f2d99be7eceb4617f8eb57a7c429c157,0,C,A,True,False
