input_name,sample,chain_id,fc_key
e4336522811bc81bd22e72f3c7ebe8844436aeb6,2,K,e4336522811bc81bd22e72f3c7ebe8844436aeb6_2_K
442ff18e1ce2994d4f2bf6d6b97242031b56ea38,0,G,442ff18e1ce2994d4f2bf6d6b97242031b56ea38_0_G
377c69f600f3fcf8a99d96d41b3277e4eed2924e,1,E,377c69f600f3fcf8a99d96d41b3277e4eed2924e_1_E
6ad4239cfc720942632c886237f58c6b36820c7b,3,B,6ad4239cfc720942632c886237f58c6b36820c7b_3_B
a4ee12177acfa6807fe8344d1b53d5fe7a548570,1,H,a4ee12177acfa6807fe8344d1b53d5fe7a548570_1_H
28c9a10aa63559fca5ce9ccc975f70786eaa8df6,1,B,28c9a10aa63559fca5ce9ccc975f70786eaa8df6_1_B
f90a1a62b27fd3e065bf73c25eb5a71f92592b01,2,G,f90a1a62b27fd3e065bf73c25eb5a71f92592b01_2_G
f52415073328e5dcb29158b0d4e940e93271c147,4,J,f52415073328e5dcb29158b0d4e940e93271c147_4_J
aac32bddf7216139d513ee301f2be1a5def52955,3,A,aac32bddf7216139d513ee301f2be1a5def52955_3_A
77362eb171a6176d8d4bc146721a1a4daca5f22c,2,B,77362eb171a6176d8d4bc146721a1a4daca5f22c_2_B
daf891054a82ef4c4d6b9d8a4e89d022a301cf76,0,I,daf891054a82ef4c4d6b9d8a4e89d022a301cf76_0_I
697fffc20203bb8c5b49c97b019abe9489073325,1,F,697fffc20203bb8c5b49c97b019abe9489073325_1_F
6fdb40608b529d4d622ab60335be07cd5c5de887,2,J,6fdb40608b529d4d622ab60335be07cd5c5de887_2_J
f391eb7f5563c7902dc2daaa692392a7bc9f1f48,3,N,f391eb7f5563c7902dc2daaa692392a7bc9f1f48_3_N
95694637dfe883aa9399d0c4a997da3ff384e064,1,B,95694637dfe883aa9399d0c4a997da3ff384e064_1_B
88d70121213ae7cf1508468db03b149352caee44,0,K,88d70121213ae7cf1508468db03b149352caee44_0_K
ccac65b01251a4f903a99241d47c23da9f663883,4,C,ccac65b01251a4f903a99241d47c23da9f663883_4_C
68f2c30c6d3689a61eeff25977581887d2361bc1,1,N,68f2c30c6d3689a61eeff25977581887d2361bc1_1_N
76a86d7c51f00d75266cd4a8103fdc0a429f27df,2,D,76a86d7c51f00d75266cd4a8103fdc0a429f27df_2_D
30ba91d8856add1f09424c49b0fa801931f946f2,3,B,30ba91d8856add1f09424c49b0fa801931f946f2_3_B
74d57ea68749562e57de015fe8117cd1a2b9d973,0,F,74d57ea68749562e57de015fe8117cd1a2b9d973_0_F
0ea3dd53fef2443e42ba1dd8eec7a6e840880f6f,1,H,0ea3dd53fef2443e42ba1dd8eec7a6e840880f6f_1_H
d45c7cadb2fe3f006a1c39328054bb01fc88e3b4,0,D,d45c7cadb2fe3f006a1c39328054bb01fc88e3b4_0_D
1d701b31be19ccdb823d032216a6be853528fe34,4,H,1d701b31be19ccdb823d032216a6be853528fe34_4_H
a24d6410f2d99be7eceb4617f8eb57a7c429c157,0,C,a24d6410f2d99be7eceb4617f8eb57a7c429c157_0_C
701318806f887f17282827b65824d4bbc43f4e16,0,F,701318806f887f17282827b65824d4bbc43f4e16_0_F
aae9b9a1e9119bcec590194089a634c35562d062,0,H,aae9b9a1e9119bcec590194089a634c35562d062_0_H
747a9c0b3db6b15a4fc58e1eae422403178493c9,3,B,747a9c0b3db6b15a4fc58e1eae422403178493c9_3_B
b76f50a78f42cfccc6e39b74d29e70a92656801a,0,F,b76f50a78f42cfccc6e39b74d29e70a92656801a_0_F
b66baa772dafd8f669e7c9c2a080cba17a2fdf04,4,G,b66baa772dafd8f669e7c9c2a080cba17a2fdf04_4_G
7352c8cb8c5c2204885d8b7b1f7f0641da5267df,0,I,7352c8cb8c5c2204885d8b7b1f7f0641da5267df_0_I
q03497_p53894,2,A,q03497_p53894_2_A
55e8066f9d2ec9ca7d587cb5e8c4de76da35a4ab,4,A,55e8066f9d2ec9ca7d587cb5e8c4de76da35a4ab_4_A
6e0316bf769919e664a6990b08c214e2a9235b58,0,D,6e0316bf769919e664a6990b08c214e2a9235b58_0_D
837b667c16b144507bf7d046b472e94f73b0728b,0,C,837b667c16b144507bf7d046b472e94f73b0728b_0_C
8bc1dac70ba4689f1a2fc9153a870f1b9a6b472b,2,J,8bc1dac70ba4689f1a2fc9153a870f1b9a6b472b_2_J
a6c114f5cd7bbaa2eb71833e4777d805f1cf461b,1,A,a6c114f5cd7bbaa2eb71833e4777d805f1cf461b_1_A
5d532857fbce0eb62596db2aefb2172d1c0b2687,3,H,5d532857fbce0eb62596db2aefb2172d1c0b2687_3_H
23e5e684d2f17d3a817ef84bfe55f9e3b5e73ea8,0,B,23e5e684d2f17d3a817ef84bfe55f9e3b5e73ea8_0_B
8a48eab3dd3eeb30a66d901ced710c6795aaad01,2,E,8a48eab3dd3eeb30a66d901ced710c6795aaad01_2_E
084c9915c0c391555dcae3858561ae53f09ebf3d,3,J,084c9915c0c391555dcae3858561ae53f09ebf3d_3_J
131edf0c130cfb40ed81e365ee8105b579fa2313,3,I,131edf0c130cfb40ed81e365ee8105b579fa2313_3_I
bd55cc4815ae4c9c14ae596afa1146c360aca332,1,H,bd55cc4815ae4c9c14ae596afa1146c360aca332_1_H
1c1c7c72131d1cf3122977956e4e3ef54eb004d9,0,C,1c1c7c72131d1cf3122977956e4e3ef54eb004d9_0_C
